symbol,signal_date,status,total_score,grade,s_volume,s_stochrsi,s_fib,s_sr,s_pattern,plan_entry,plan_sl,plan_tp1,plan_tp2,plan_rr1,fill_date,fill_price,exit_date,exit_type,bars_held,pnl_r,win,source
ARBUSDT,2025-05-21 00:00:00+00:00,filled,,,,,,,,0.411,0.34059339957145107,0.5518132008570977,0.6222198012856467,2.0,2025-05-21 00:00:00+00:00,0.411,2025-05-30 00:00:00+00:00,SL,9.0,-1.0160130626361012,False,baseline_random
ARBUSDT,2025-04-27 00:00:00+00:00,filled,,,,,,,,0.3357,0.2921269651428068,0.42284606971438643,0.46641910457157965,2.0,2025-04-27 00:00:00+00:00,0.3357,2025-05-11 00:00:00+00:00,TP1_TP2,14.0,2.473138331579225,True,baseline_random
BTCUSDT,2024-08-26 00:00:00+00:00,filled,,,,,,,,62834.0,57568.762684080415,73364.47463183917,78629.71194775875,2.0,2024-08-26 00:00:00+00:00,62834.0,2024-09-01 00:00:00+00:00,SL,6.0,-1.0343017352890624,False,baseline_random
ARBUSDT,2024-12-15 00:00:00+00:00,filled,,,,,,,,1.0168,0.8117736640599416,1.4268526718801167,1.631879007820175,2.0,2024-12-15 00:00:00+00:00,1.0168,2024-12-19 00:00:00+00:00,SL,4.0,-1.0133785886417026,False,baseline_random
ARBUSDT,2026-01-18 00:00:00+00:00,filled,,,,,,,,0.2061,0.18084584566465217,0.2566083086706957,0.2818624630060435,2.0,2026-01-18 00:00:00+00:00,0.2061,2026-01-20 00:00:00+00:00,SL,2.0,-1.0229836005540551,False,baseline_random
ARBUSDT,2024-12-22 00:00:00+00:00,filled,,,,,,,,0.747,0.5430793189420735,1.154841362115853,1.3587620431737795,2.0,2024-12-22 00:00:00+00:00,0.747,2025-01-21 00:00:00+00:00,TIMEOUT,30.0,-0.13242311794912562,False,baseline_random
BTCUSDT,2026-07-20 00:00:00+00:00,filled,,,,,,,,65255.51,61578.76430589754,72609.00138820492,76285.7470823074,2.0,2026-07-20 00:00:00+00:00,65255.51,2026-08-19 00:00:00+00:00,TIMEOUT,30.0,1.054572959957332,True,baseline_random
BTCUSDT,2026-04-06 00:00:00+00:00,filled,,,,,,,,68853.66,64010.632118827205,78539.7157623456,83382.74364351839,2.0,2026-04-06 00:00:00+00:00,68853.66,2026-05-06 00:00:00+00:00,TP1_TIMEOUT,30.0,2.2540522550241744,True,baseline_random
BTCUSDT,2024-09-10 00:00:00+00:00,filled,,,,,,,,57635.99,52614.767269064374,67678.43546187124,72699.65819280688,2.0,2024-09-10 00:00:00+00:00,57635.99,2024-10-10 00:00:00+00:00,TIMEOUT,30.0,0.5005668758158571,True,baseline_random
ARBUSDT,2026-04-09 00:00:00+00:00,filled,,,,,,,,0.108,0.09582776703835082,0.13234446592329835,0.14451669888494756,2.0,2026-04-09 00:00:00+00:00,0.108,2026-05-08 00:00:00+00:00,TP1_TP2,29.0,2.4696332908284324,True,baseline_random
BTCUSDT,2025-11-13 00:00:00+00:00,filled,,,,,,,,99692.02,91403.1950192404,116269.6699615192,124558.4949422788,2.0,2025-11-13 00:00:00+00:00,99692.02,2025-11-17 00:00:00+00:00,SL,4.0,-1.0345823403928436,False,baseline_random
ARBUSDT,2025-02-09 00:00:00+00:00,filled,,,,,,,,0.449,0.32475260092777647,0.697494798144447,0.8217421972166706,2.0,2025-02-09 00:00:00+00:00,0.449,2025-03-10 00:00:00+00:00,SL,29.0,-1.0093417732182584,False,baseline_random
BTCUSDT,2025-08-16 00:00:00+00:00,filled,,,,,,,,117380.66,111541.03194768846,129059.91610462309,134899.54415693463,2.0,2025-08-16 00:00:00+00:00,117380.66,2025-08-24 00:00:00+00:00,SL,8.0,-1.058802624869169,False,baseline_random
ARBUSDT,2026-05-10 00:00:00+00:00,filled,,,,,,,,0.1441,0.1274319187203036,0.17743616255939282,0.19410424383908922,2.0,2026-05-10 00:00:00+00:00,0.1441,2026-05-15 00:00:00+00:00,SL,5.0,-1.024436298652874,False,baseline_random
BTCUSDT,2025-07-02 00:00:00+00:00,filled,,,,,,,,108849.6,103367.5563623565,119813.68727528703,125295.73091293054,2.0,2025-07-02 00:00:00+00:00,108849.6,2025-08-01 00:00:00+00:00,TP1_TIMEOUT,30.0,1.344043364995648,True,baseline_random
BTCUSDT,2025-03-03 00:00:00+00:00,filled,,,,,,,,86220.61,76906.50994801057,104848.81010397886,114162.91015596829,2.0,2025-03-03 00:00:00+00:00,86220.61,2025-03-11 00:00:00+00:00,SL,8.0,-1.0262714954323218,False,baseline_random
BTCUSDT,2025-12-15 00:00:00+00:00,filled,,,,,,,,86432.08,79282.43375927348,100731.37248145304,107881.01872217956,2.0,2025-12-15 00:00:00+00:00,86432.08,2026-01-14 00:00:00+00:00,TIMEOUT,30.0,1.4328862051234827,True,baseline_random
ARBUSDT,2026-03-06 00:00:00+00:00,filled,,,,,,,,0.1,0.08223291191080426,0.1355341761783915,0.15330126426758725,2.0,2026-03-06 00:00:00+00:00,0.1,2026-04-05 00:00:00+00:00,TIMEOUT,30.0,-0.34284193726174716,False,baseline_random
BTCUSDT,2026-06-02 00:00:00+00:00,filled,,,,,,,,66760.83,62392.05639540391,75498.37720919219,79867.15081378828,2.0,2026-06-02 00:00:00+00:00,66760.83,2026-06-04 00:00:00+00:00,SL,2.0,-1.0443445990829288,False,baseline_random
BTCUSDT,2025-09-13 00:00:00+00:00,filled,,,,,,,,115918.29,110812.94781348378,126128.97437303241,131234.3165595486,2.0,2025-09-13 00:00:00+00:00,115918.29,2025-09-25 00:00:00+00:00,SL,12.0,-1.0666163788765315,False,baseline_random
