symbol,total_score,grade,vetoed,veto_reason,score_volume,score_stochrsi,score_fib,score_sr,score_pattern,price,entry,stop_loss,tp1,tp2,rr_tp1,rr_tp2,position_size_usd,sl_pct,vol_ratio,stochrsi_k,stochrsi_htf,fib_retr,trend,pattern,dist_to_resistance_pct,vol_24h_usd,change_24h,tradingview
NEARUSDT,68,B,FALSE,,15,3,20,20,10,1.82,1.82,1.74345,2.312648,2.523362,6.44,9.19,3566.3,-4.21,0.88,48.1,26,0.537,uptrend,Double Bottom,0.81,29007969.05,-1.646,https://www.tradingview.com/chart/?symbol=BINANCE:NEARUSDT
TRXUSDT,60,B,FALSE,,5,20,8,20,7,0.3361,0.3281754,0.323671,0.3491,0.3745492,4.65,10.3,10928.49,-1.37,0.71,24,29.7,0.358,uptrend,Double Bottom,3.87,27789823.17,-1.261,https://www.tradingview.com/chart/?symbol=BINANCE:TRXUSDT
DOGEUSDT,57,C,TRUE,R:R ke TP1 hanya 1:1.36 (min 1:2.0),15,3,15,12,12,0.08205,0.08205,0.0781893,0.087291667,0.12591,1.36,11.36,3187.89,-4.71,0.78,31,57.1,0.566,range,Bull Flag,6.39,56551476.8,-2.4,https://www.tradingview.com/chart/?symbol=BINANCE:DOGEUSDT
XRPUSDT,56,C,TRUE,R:R ke TP1 hanya 1:1.08 (min 1:2.0),15,3,20,6,12,1.3575,1.3009417,1.2354855,1.37195,2.1409666,1.08,12.83,2981.25,-5.03,0.57,54.7,66,0.48,range,Bull Flag,1.06,158060288.7,-1.95,https://www.tradingview.com/chart/?symbol=BINANCE:XRPUSDT
BNBUSDT,55,C,FALSE,,15,3,5,20,12,684.74,620.52403,591,691.256,842.77694,2.4,7.53,3152.64,-4.76,0.64,36.3,81.9,0.219,uptrend,Bull Flag,0.95,74729269.16,-0.908,https://www.tradingview.com/chart/?symbol=BINANCE:BNBUSDT
BTCUSDT,54,C,FALSE,,15,3,5,20,11,77682,61184.54307,58848.05894,80042.83,74220.21667,8.07,5.58,3927.99,-3.82,0.52,59.8,81.3,-1.591,range,Ascending Triangle,3.04,878742086.1,-0.025,https://www.tradingview.com/chart/?symbol=BINANCE:BTCUSDT
PEPEUSDT,51,C,TRUE,R:R ke TP1 hanya 1:0.65 (min 1:2.0),15,3,15,6,12,3.40E-06,3.40E-06,3.05E-06,3.63E-06,6.00E-06,0.65,7.5,1471.86,-10.19,0.73,47.6,70.6,0.498,range,Bull Flag,6.62,31778420.5,-4.396,https://www.tradingview.com/chart/?symbol=BINANCE:PEPEUSDT
ZKCUSDT,49,C,FALSE,,25,3,5,6,10,0.0604,0.0401572,0.037688112,0.0728,0.0509856,13.22,4.39,2439.6,-6.15,15.47,62.8,98.3,-1.641,range,Double Bottom,20.53,27578309.1,21.29,https://www.tradingview.com/chart/?symbol=BINANCE:ZKCUSDT
UNIUSDT,48,C,TRUE,StochRSI: Stoch RSI sudah overbought (87) - telat,25,0,5,6,12,5.131,3.313101,3.123435,5.5574,6.449,11.83,16.53,2620.21,-5.72,2.47,87.2,83.5,-0.245,range,Bull Flag,8.31,81728473.88,5.454,https://www.tradingview.com/chart/?symbol=BINANCE:UNIUSDT
LINKUSDT,47,C,TRUE,R:R ke TP1 hanya 1:1.67 (min 1:2.0),15,3,5,12,12,11.144,9.476184,8.11754064,11.74225,16.095632,1.67,4.87,1046.21,-14.34,0.53,0.4,96.9,0.262,uptrend,Bull Flag,5.37,22393581.99,-0.816,https://www.tradingview.com/chart/?symbol=BINANCE:LINKUSDT
ETHUSDT,46,C,FALSE,,8,3,5,20,10,2416.88,1964.8051,1825.8157,2447.25,3190.1798,3.47,8.82,2120.45,-7.07,0.86,46,93.7,0.125,uptrend,Double Bottom,1.26,785732220.1,-0.54,https://www.tradingview.com/chart/?symbol=BINANCE:ETHUSDT
ADAUSDT,44,C,TRUE,R:R ke TP1 hanya 1:1.72 (min 1:2.0),15,3,20,6,0,0.1927,0.1927,0.168632,0.2341,0.3326836,1.72,5.82,1200.97,-12.49,0.83,23.2,85.4,0.547,uptrend,,21.48,25158497.06,-2.093,https://www.tradingview.com/chart/?symbol=BINANCE:ADAUSDT
TRUMPUSDT,42,C,TRUE,R:R ke TP1 hanya 1:1.17 (min 1:2.0),8,3,15,6,10,2.342,2.342,1.683651539,3.109,5.11067,1.17,4.21,533.61,-28.11,0.81,67,87.6,0.578,range,Double Bottom,32.75,38500610.56,-8.826,https://www.tradingview.com/chart/?symbol=BINANCE:TRUMPUSDT
HEMIUSDT,37,C,TRUE,R:R ke TP1 hanya 1:1.62 (min 1:2.0),5,3,5,12,12,0.01376,0.00928318,0.005070005,0.01609,0.02338364,1.62,3.35,330.51,-45.39,0.71,73.8,100,0.185,uptrend,Bull Flag,16.93,21405052.68,31.18,https://www.tradingview.com/chart/?symbol=BINANCE:HEMIUSDT
SUIUSDT,35,C,FALSE,,8,12,9,6,0,0.7111,0.7111,0.696544596,0.7835,1.1508948,4.97,30.22,7328.21,-2.05,1.04,36.1,54.3,0.762,range,,10.18,55555322.82,-2.506,https://www.tradingview.com/chart/?symbol=BINANCE:SUIUSDT
ZECUSDT,32,C,FALSE,,8,3,5,6,10,835.29,531.42508,458.98045,1061.50336,1282.20984,7.32,10.36,1100.34,-13.63,0.83,59.8,72.1,0.083,uptrend,Double Bottom,,167258833.5,0.088,https://www.tradingview.com/chart/?symbol=BINANCE:ZECUSDT
SOLUSDT,31,C,FALSE,,5,3,5,6,12,101.75,67.94011,63.2807406,104.295,127.34,7.8,12.75,2187.21,-6.86,0.71,61.5,92.2,-1.35,range,Bull Flag,2.5,259758295.4,-2,https://www.tradingview.com/chart/?symbol=BINANCE:SOLUSDT
ENAUSDT,31,C,FALSE,,5,3,5,6,12,0.1482,0.0823803,0.0798835,0.2489,0.2574,66.69,70.1,4949.15,-3.03,0.66,56,81.2,-1.767,uptrend,Bull Flag,67.95,36640101.76,-5.372,https://www.tradingview.com/chart/?symbol=BINANCE:ENAUSDT
PUMPUSDT,31,C,TRUE,R:R ke TP1 hanya 1:1.81 (min 1:2.0),5,3,5,6,12,0.004473,0.003045536,0.002046914,0.0048525,0.008101928,1.81,5.06,457.46,-32.79,0.76,18.2,93.9,0.227,uptrend,Bull Flag,8.48,33028788.42,-11.535,https://www.tradingview.com/chart/?symbol=BINANCE:PUMPUSDT
RLUSDUSDT,30,C,TRUE,Fibonacci: struktur swing tidak jelas - tidak bisa tarik Fibonacci; R:R ke TP1 hanya 1:0.02 (min 1:2.0),5,3,0,15,7,1.0003,1.0003,0.985394,1.000532143,1.045018,0.02,3,10066.08,-1.49,0.36,63.7,20.9,,downtrend,Double Bottom,0.02,20992834.38,-0.02,https://www.tradingview.com/chart/?symbol=BINANCE:RLUSDUSDT
BMTUSDT,26,C,FALSE,,8,3,9,6,0,0.02087,0.02087,0.017697596,0.02915,0.06384332,2.61,13.55,986.79,-15.2,1.08,42.6,53.1,0.695,range,,39.67,68015514.2,-7.066,https://www.tradingview.com/chart/?symbol=BINANCE:BMTUSDT
ENSOUSDT,19,C,TRUE,StochRSI: Stoch RSI sudah overbought (88) - telat,8,0,5,6,0,0.846,0.698754,0.60322284,0.9965,1.162492,3.12,4.85,1097.16,-13.67,12.96,88.3,66.4,0.185,range,,17.79,22011737.69,2.081,https://www.tradingview.com/chart/?symbol=BINANCE:ENSOUSDT
UUSDT,15,C,TRUE,Fibonacci: struktur swing tidak jelas - tidak bisa tarik Fibonacci; R:R ke TP1 hanya 1:0.08 (min 1:2.0),5,3,0,0,7,0.9996,0.9996,0.9849015,1.000716667,1.0436955,0.08,3,10201.04,-1.47,0.63,45.5,3.8,,downtrend,Double Bottom,0.11,20131327.92,0.01,https://www.tradingview.com/chart/?symbol=BINANCE:UUSDT
