universe,feature,horizon,n_days_full,mean_ic_full,tstat_full,pct_pos_full,mean_spread_full,mean_ic_disc,tstat_disc,ic_2021_2023_disc,ic_2024_2026_disc,dir_stable_disc,verdict,holdout
U1,F1_taker_buy_ratio,5,2068,0.014458584999360315,3.581345257110339,52.562862669245646,0.003755691008086938,0.02204973671673833,4.689416816281366,0.013892171816164617,0.031230141204023232,True,GAGAL (holdout),IC=-0.014
U1,F1_taker_buy_ratio,10,2063,0.016326206007938132,4.040361265378467,54.87154629180805,0.008687217003384288,0.023967029711987487,5.021539379188142,0.021407259930505487,0.0268626370577755,True,GAGAL (holdout),IC=-0.009
U1,F1_taker_buy_ratio,20,2053,0.024371653129018914,5.957949691507702,55.77204091573308,0.014372981744911808,0.029710146880649282,6.213721089183414,0.026709820552147732,0.033139538665314425,True,GAGAL (holdout),IC=-0.003
U1,F2_avg_trade_size_pct,5,1979,-0.014413854824610718,-3.398936666508737,46.28600303183426,0.0018430119938089937,-0.018635184358689945,-3.6982257910170104,-0.019862570900162142,-0.017366170113344584,True,GAGAL,-
U1,F2_avg_trade_size_pct,10,1974,-0.011410248576077059,-2.671328840892367,48.07497467071935,0.0002878290661813011,-0.013446316349036175,-2.6598792993997606,-0.007526437237688153,-0.01959858740897017,True,GAGAL,-
U1,F2_avg_trade_size_pct,20,1964,-0.015462372684717066,-3.646614581374228,46.94501018329939,-0.0026392383473753406,-0.012318920698959974,-2.4404707014044664,0.0010859390385882632,-0.026395422678055506,False,GAGAL,-
U1,F3_trade_intensity,5,2049,-0.0009385653600886923,-0.20535760587825672,49.926793557833086,0.0035396146474140607,0.001253390976047306,0.24301348648698304,-0.009435463612977238,0.013073748157743514,False,GAGAL,-
U1,F3_trade_intensity,10,2044,0.004775147648901369,1.0408614934162697,51.66340508806262,0.0028592082447302463,0.007880582531820805,1.4953946634241073,-0.007028334827635285,0.024452891497497194,False,GAGAL,-
U1,F3_trade_intensity,20,2034,0.02419318183114061,5.251844979923884,54.424778761061944,0.0145313165872367,0.026856474450309212,5.158003620983537,0.011254609837037303,0.0443800718656334,True,GAGAL (holdout),IC=+0.008
U1,F4_flow_divergence,5,707,0.01801478442089249,2.1124035663926604,52.75813295615276,0.004489767445256587,0.029548740899629816,2.459320202777819,0.034277954228257745,0.027464987900425935,True,GAGAL,-
U1,F4_flow_divergence,10,706,0.002440967386630275,0.2809966618256847,49.15014164305949,0.0024403019515220384,0.005137266321805808,0.4082937292389461,0.02700720354711471,-0.004535975143234663,False,GAGAL,-
U1,F4_flow_divergence,20,702,0.00885039889048448,1.001992766705168,51.85185185185185,-0.00343020257752809,0.0038035573663302174,0.2895254886040249,0.03927889358364523,-0.01213262882504176,False,GAGAL,-
