symbol,signal_date,regime_status,total_score,grade,s_volume,s_stochrsi,s_fib,s_sr,s_pattern,plan_entry,plan_sl,plan_tp1,plan_tp2,plan_rr1,status,fill_date,fill_price,exit_date,exit_type,bars_held,pnl_r,win,source
AEVOUSDT,2025-01-16 00:00:00+00:00,HIJAU,50,C,8,15,15,12,0,0.3294,0.317564,0.38715,0.45803760000000004,4.88,filled,2025-01-18 00:00:00+00:00,0.3294,2025-01-19 00:00:00+00:00,SL,1.0,-1.0819915442717034,False,system
AEVOUSDT,2025-02-19 00:00:00+00:00,HIJAU,23,C,5,3,15,0,0,0.1506,0.13763930399999996,0.18812079999999998,0.20688119999999996,2.89,filled,2025-02-20 00:00:00+00:00,0.1506,2025-02-24 00:00:00+00:00,SL,4.0,-1.0333597390408644,False,system
AEVOUSDT,2025-03-28 00:00:00+00:00,HIJAU,45,C,15,3,15,0,12,0.114,0.104546772,0.1481344,0.1652016,3.61,filled,2025-03-29 00:00:00+00:00,0.114,2025-04-02 00:00:00+00:00,SL,4.0,-1.0346786182046974,False,system
AEVOUSDT,2025-04-28 00:00:00+00:00,HIJAU,54,C,15,3,20,4,12,0.1162,0.104546772,0.1462,0.1612,2.57,filled,2025-04-29 00:00:00+00:00,0.1162,2025-05-03 00:00:00+00:00,SL,4.0,-1.02841495803686,False,system
AEVOUSDT,2025-05-04 00:00:00+00:00,HIJAU,42,C,15,3,8,4,12,0.09584190000000001,0.084568374,0.12079999999999999,0.1339848,2.21,filled,2025-05-06 00:00:00+00:00,0.09584190000000001,2025-05-10 00:00:00+00:00,TP1_TP2,4.0,2.7689353202582754,True,system
AEVOUSDT,2025-05-14 00:00:00+00:00,HIJAU,22,C,8,3,5,6,0,0.11308499999999999,0.0936735,0.17205,0.2015325,3.04,cancelled,,,,,,,,system
AEVOUSDT,2025-05-30 00:00:00+00:00,HIJAU,24,C,8,3,9,4,0,0.0924,0.08853015599999998,0.12079999999999999,0.1577712,7.34,filled,2025-05-31 00:00:00+00:00,0.0924,2025-06-13 00:00:00+00:00,SL,13.0,-1.0701312944196146,False,system
AEVOUSDT,2025-07-08 00:00:00+00:00,HIJAU,28,C,8,3,5,0,12,0.0767902,0.071033292,0.0952384,0.1044625,3.2,cancelled,,,,,,,,system
AEVOUSDT,2025-07-20 00:00:00+00:00,HIJAU,32,C,8,3,5,4,12,0.0975613,0.08101189799999998,0.13674999999999998,0.15634434999999997,2.37,filled,2025-07-24 00:00:00+00:00,0.0975613,2025-08-23 00:00:00+00:00,TIMEOUT,30.0,0.4492254112474892,True,system
AEVOUSDT,2025-08-25 00:00:00+00:00,HIJAU,26,C,8,3,15,0,0,0.0886,0.084513,0.097,0.122968,2.06,filled,2025-08-26 00:00:00+00:00,0.0886,2025-09-01 00:00:00+00:00,SL,6.0,-1.0635359783459712,False,system
AEVOUSDT,2025-09-02 00:00:00+00:00,HIJAU,60,B,15,3,20,15,7,0.088,0.0859905,0.097,0.1190248,4.48,filled,2025-09-03 00:00:00+00:00,0.088,2025-09-04 00:00:00+00:00,SL,1.0,-1.1298764641701795,False,system
AEVOUSDT,2025-09-05 00:00:00+00:00,HIJAU,65,B,8,15,20,15,7,0.0879,0.0859905,0.097,0.1190248,4.77,filled,2025-09-06 00:00:00+00:00,0.0879,2025-09-21 00:00:00+00:00,TP1_TP2,15.0,10.37891670919085,True,system
AEVOUSDT,2025-09-24 00:00:00+00:00,HIJAU,49,C,20,3,20,6,0,0.1063,0.095545,0.17690080000000002,0.21220120000000003,6.56,filled,2025-09-25 00:00:00+00:00,0.1063,2025-09-26 00:00:00+00:00,SL,1.0,-1.028151824965131,False,system
AEVOUSDT,2025-09-28 00:00:00+00:00,HIJAU,49,C,20,15,8,6,0,0.1108601,0.1062815,0.13674999999999998,0.1740992,5.65,filled,2025-09-29 00:00:00+00:00,0.1108601,2025-10-05 00:00:00+00:00,SL,6.0,-1.071138489778534,False,system
AEVOUSDT,2025-10-06 00:00:00+00:00,HIJAU,55,C,15,3,20,10,7,0.1091,0.1062815,0.12079999999999999,0.1632872,4.15,filled,2025-10-07 00:00:00+00:00,0.1091,2025-10-08 00:00:00+00:00,SL,1.0,-1.114626098722723,False,system
AEVOUSDT,2025-10-09 00:00:00+00:00,HIJAU,44,C,15,3,9,10,7,0.0975,0.095545,0.1081,0.1632872,5.42,filled,2025-10-10 00:00:00+00:00,0.0975,2025-10-11 00:00:00+00:00,SL,1.0,-1.148116868286446,False,system
AEVOUSDT,2025-11-01 00:00:00+00:00,HIJAU,37,C,8,12,5,4,8,0.0406761,0.0251482539267572,0.0827,0.10371195,2.71,cancelled,,,,,,,,system
AEVOUSDT,2025-11-13 00:00:00+00:00,HIJAU,24,C,8,3,5,0,8,0.0406761,0.027130411819907177,0.08009999999999999,0.09981194999999998,2.91,cancelled,,,,,,,,system
AEVOUSDT,2025-11-24 00:00:00+00:00,HIJAU,23,C,5,10,8,0,0,0.038427,0.02671389327216451,0.077484,0.0970125,3.33,cancelled,,,,,,,,system
AEVOUSDT,2025-12-05 00:00:00+00:00,HIJAU,23,C,5,3,8,0,7,0.037500900000000004,0.028498922963918184,0.0647,0.07829955,3.02,filled,2025-12-15 00:00:00+00:00,0.037500900000000004,2026-01-14 00:00:00+00:00,TIMEOUT,30.0,0.6418314084107916,True,system
AEVOUSDT,2026-01-15 00:00:00+00:00,HIJAU,18,C,5,8,5,0,0,0.0321207,0.024778112372831073,0.046950000000000006,0.0592944,2.02,cancelled,,,,,,,,system
AEVOUSDT,2026-03-22 00:00:00+00:00,HIJAU,45,C,15,3,15,0,12,0.0238,0.022577345999999995,0.0292592,0.0319888,4.47,filled,2026-03-23 00:00:00+00:00,0.0238,2026-03-28 00:00:00+00:00,SL,5.0,-1.0568980515558708,False,system
AEVOUSDT,2026-04-04 00:00:00+00:00,HIJAU,23,C,8,3,12,0,0,0.0237,0.02319174,0.025849999999999998,0.032948,4.23,filled,2026-04-05 00:00:00+00:00,0.0237,2026-04-07 00:00:00+00:00,SL,2.0,-1.1383895331719858,False,system
AEVOUSDT,2026-04-10 00:00:00+00:00,HIJAU,24,C,5,3,12,4,0,0.0233,0.022335786000000003,0.025849999999999998,0.0332472,2.64,filled,2026-04-11 00:00:00+00:00,0.0233,2026-04-13 00:00:00+00:00,SL,2.0,-1.0709947803153606,False,system
AEVOUSDT,2026-04-16 00:00:00+00:00,HIJAU,36,C,8,8,8,12,0,0.0248541,0.022335786000000003,0.0305,0.03332295,2.24,filled,2026-04-19 00:00:00+00:00,0.0248541,2026-05-12 00:00:00+00:00,TP1_TP2,23.0,2.7686103346078017,True,system
AEVOUSDT,2026-05-16 00:00:00+00:00,HIJAU,37,C,8,3,20,6,0,0.0271,0.025412999999999998,0.0305,0.04024319999999999,2.02,filled,2026-05-17 00:00:00+00:00,0.0271,2026-05-19 00:00:00+00:00,SL,2.0,-1.0466925569057446,False,system
AEVOUSDT,2026-05-20 00:00:00+00:00,HIJAU,54,C,15,15,20,4,0,0.0257,0.02295018,0.036936,0.042553999999999995,4.09,filled,2026-05-21 00:00:00+00:00,0.0257,2026-05-28 00:00:00+00:00,SL,7.0,-1.026538698863923,False,system
AEVOUSDT,2026-05-29 00:00:00+00:00,HIJAU,46,C,15,15,12,4,0,0.0236,0.02295018,0.025849999999999998,0.036936,3.46,filled,2026-05-30 00:00:00+00:00,0.0236,2026-06-01 00:00:00+00:00,TP1_BE,2.0,1.619699397525479,True,system
AEVOUSDT,2026-06-20 00:00:00+00:00,HIJAU,28,C,5,7,8,1,7,0.01905474,0.0181585404,0.02166408,0.022968749999999996,2.91,filled,2026-06-21 00:00:00+00:00,0.01905474,2026-06-23 00:00:00+00:00,SL,2.0,-1.0622856433988526,False,system
AEVOUSDT,2026-06-29 00:00:00+00:00,HIJAU,36,C,8,15,12,1,0,0.01877,0.017404950000000002,0.025569119999999997,0.028968679999999997,4.98,filled,2026-06-30 00:00:00+00:00,0.01877,2026-07-30 00:00:00+00:00,TIMEOUT,30.0,-0.3557856598659376,False,system
AIUSDT,2024-09-16 00:00:00+00:00,HIJAU,30,C,8,3,15,4,0,0.36,0.329975,0.599352,0.719028,7.97,filled,2024-09-17 00:00:00+00:00,0.36,2024-10-17 00:00:00+00:00,TIMEOUT,30.0,2.18550652456287,True,system
AIUSDT,2024-10-18 00:00:00+00:00,HIJAU,29,C,5,3,8,6,7,0.3910068,0.36247999999999997,0.5099,0.6359855999999999,4.17,filled,2024-10-25 00:00:00+00:00,0.3910068,2024-10-26 00:00:00+00:00,SL,1.0,-1.0396204433515106,False,system
AIUSDT,2024-10-27 00:00:00+00:00,HIJAU,41,C,5,15,8,6,7,0.35996039999999996,0.30593138400000003,0.5099,0.5848698000000001,2.78,filled,2024-10-28 00:00:00+00:00,0.35996039999999996,2024-11-04 00:00:00+00:00,SL,7.0,-1.0184875602862704,False,system
AIUSDT,2024-11-06 00:00:00+00:00,HIJAU,46,C,22,15,8,1,0,0.35996039999999996,0.330172,0.5464368,0.639675,6.26,cancelled,,,,,,,,system
AIUSDT,2024-11-17 00:00:00+00:00,HIJAU,34,C,5,3,8,6,12,0.408863,0.3598205,0.6107959999999999,0.7117624999999999,4.12,cancelled,,,,,,,,system
AIUSDT,2024-11-28 00:00:00+00:00,HIJAU,48,C,22,3,5,6,12,0.5055743,0.409563,0.8897456,1.08183125,4.0,cancelled,,,,,,,,system
AIUSDT,2024-12-11 00:00:00+00:00,HIJAU,44,C,15,3,8,6,12,0.5482631,0.3768445824652543,1.0128752,1.2451812500000001,2.71,filled,2024-12-19 00:00:00+00:00,0.5482631,2025-01-18 00:00:00+00:00,TIMEOUT,30.0,0.44904159612072186,True,system
AIUSDT,2025-01-23 00:00:00+00:00,HIJAU,48,C,5,15,15,6,7,0.5752,0.5555399999999999,0.6463333333333333,1.0116032000000001,3.62,filled,2025-01-24 00:00:00+00:00,0.5752,2025-01-25 00:00:00+00:00,SL,1.0,-1.0862726261444473,False,system
AIUSDT,2025-01-29 00:00:00+00:00,HIJAU,48,C,8,15,12,6,7,0.4561,0.4169220659999999,0.551875,1.0116032000000001,2.44,filled,2025-01-30 00:00:00+00:00,0.4561,2025-02-01 00:00:00+00:00,SL,2.0,-1.033425771965589,False,system
AIUSDT,2025-02-15 00:00:00+00:00,HIJAU,21,C,5,8,8,0,0,0.2694683,0.245132118,0.3351,0.36791585000000004,2.7,filled,2025-02-16 00:00:00+00:00,0.2694683,2025-02-18 00:00:00+00:00,SL,2.0,-1.0317187303699056,False,system
AIUSDT,2025-02-19 00:00:00+00:00,HIJAU,23,C,5,3,15,0,0,0.2632,0.245132118,0.3351,0.37105,3.98,filled,2025-02-20 00:00:00+00:00,0.2632,2025-02-24 00:00:00+00:00,SL,4.0,-1.0422023572514467,False,system
AIUSDT,2025-03-02 00:00:00+00:00,HIJAU,38,C,8,8,15,0,7,0.2592,0.24002629200000003,0.30045,0.321075,2.15,filled,2025-03-03 00:00:00+00:00,0.2592,2025-03-04 00:00:00+00:00,SL,1.0,-1.0390560357367484,False,system
AIUSDT,2025-03-27 00:00:00+00:00,HIJAU,35,C,15,3,5,0,12,0.1768338,0.165671748,0.21156959999999997,0.22893749999999996,3.11,filled,2025-03-28 00:00:00+00:00,0.1768338,2025-03-29 00:00:00+00:00,SL,1.0,-1.046027728864369,False,system
AIUSDT,2025-04-17 00:00:00+00:00,HIJAU,35,C,5,3,15,0,12,0.1202,0.109944846,0.1439592,0.1558388,2.32,filled,2025-04-18 00:00:00+00:00,0.1202,2025-04-22 00:00:00+00:00,TP1_TP2,4.0,2.856501847705068,True,system
