feature,horizon,dugaan_arah,n_days_full,mean_ic_full,tstat_full,mean_ic_disc,tstat_disc,within_ic_disc,ic_2021_2023,ic_2024_2026,dir_stable,mean_spread_disc,pct_pos_disc,verdict,holdout
D1_tvl_growth_real_30d,5,1,870,0.007351943038340078,1.0481566083928555,0.011988445997816873,1.4666795340782128,-0.018222143445738838,0.04843400782989056,0.00338137604485482,True,0.003030464271283569,54.47761194029851,GAGAL,-
D1_tvl_growth_real_30d,10,1,865,0.01995834992600601,2.9460607933446985,0.026269122146606642,3.271422889938414,-0.029982238422390492,0.12552562117694172,0.0026102173498042426,True,0.0049593536311282075,56.84210526315789,GAGAL,-
D1_tvl_growth_real_30d,20,1,855,0.030291174733279396,4.078681838063738,0.026944102345524367,3.2660251890673657,-0.0264310215504245,0.1316295103521885,0.0015176654862207538,True,0.010935641775000863,56.94656488549619,GAGAL,-
D2_mcap_to_fees_pct,5,-1,1266,-0.0325616073391595,-6.423928063270745,-0.024563378026942338,-4.079301835370112,-0.01918786536657446,-0.05740210105167249,-0.022196013854201748,True,0.0027401140079100685,45.821325648414984,GAGAL,-
D2_mcap_to_fees_pct,10,-1,1261,-0.0353560127939648,-6.885520171374952,-0.026462191281171776,-4.723994077795737,-0.030417501450940267,-0.02607737363116577,-0.026490076618128734,True,0.007937291104992571,45.463320463320464,GAGAL,-
D2_mcap_to_fees_pct,20,-1,1251,-0.04204188030361022,-8.691659612240619,-0.024317422373499313,-4.284782481860356,-0.049498932472064716,-0.024378775459198553,-0.024312929992747277,True,0.020159858954426298,46.783625730994146,GAGAL,-
D3_fees_growth_30d,5,1,1570,0.007898981993962809,1.8972734595079497,0.006565647865510332,1.332014313745462,0.00247633224887501,0.013323865944455913,0.00396258549524705,True,0.005088761630484489,52.862453531598504,GAGAL,-
D3_fees_growth_30d,10,1,1565,0.007121744564393729,1.8149694170569388,0.0024608153029308712,0.5177223968271586,-0.010460283589602248,0.014691833847244873,-0.0022745893922797283,False,0.008300434192465534,50.07462686567165,GAGAL,-
D3_fees_growth_30d,20,1,1555,0.0007150149179626151,0.18627489678298065,-0.011933528577902336,-2.5330509205494125,-0.027881277737910912,0.0023057974420426716,-0.017504143568968688,False,0.002102468073254818,47.96992481203007,GAGAL,-
D4_tvl_share_of_chain_slope30,5,1,1784,0.02271798470218366,6.564975623219713,0.01835949208026969,4.9029985691533335,-0.003246814797973477,0.028568031820191676,0.01089495735797864,True,0.004298200878563322,53.30160618679357,GAGAL,-
D4_tvl_share_of_chain_slope30,10,1,1779,0.03165723836212218,9.201707276932346,0.023542769319329904,6.084203612615122,-0.003460586558344708,0.033060440601084234,0.016547379453858296,True,0.006523097692486716,53.87828162291169,GAGAL,-
D4_tvl_share_of_chain_slope30,20,1,1769,0.04171355029519884,12.018257059989276,0.027298353502219402,7.0871324443541805,-0.00436366425490368,0.044456219669560454,0.014555586787980756,True,0.009622483971423571,54.621848739495796,GAGAL,-
D5_stablecoin_inflow_chain_14d,5,1,2050,-0.0001486599990140898,-0.044264704759622894,0.00030989886303461385,0.07666494142077421,0.01489662882006035,-0.007463866538478302,0.008948305524448037,False,,50.24390243902439,GAGAL,-
D5_stablecoin_inflow_chain_14d,10,1,2045,0.004550300568885897,1.3160078301006906,0.007293329758903751,1.7319441156298947,0.0052379961555655,0.0056868788363838765,0.009087698853519635,True,,52.51833740831295,GAGAL,-
D5_stablecoin_inflow_chain_14d,20,1,2035,0.009744782258621838,2.9362763733010437,0.013418907386270017,3.228086355249128,-0.0106827353465515,0.012182687890641232,0.014814180227047698,True,,53.611793611793615,GAGAL,-
